rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,contact_force,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
93,0,93,0,2024-11-18_17:38:59.700800,,,,189.1794509999454,190.71758690010756,None,None,34.9,2.2,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
94,0,94,0,2024-11-18_17:39:01.709253,,,,191.1831106999889,192.716223500669,None,None,34.9,1.9,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
95,0,95,0,2024-11-18_17:39:03.709400,,,,193.1825983999297,194.71602530032396,None,None,34.9,1.8,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
96,0,96,0,2024-11-18_17:39:05.710972,,,,195.18261980079114,196.71693450026214,None,None,34.9,1.7,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
97,0,97,0,2024-11-18_17:39:07.708847,,,,197.18315090052783,198.7170810000971,None,None,34.9,2.5,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
98,0,98,0,2024-11-18_17:39:09.707641,,,,199.18199460022151,200.71510019991547,None,None,35.0,2.0,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
99,0,99,0,2024-11-18_17:39:11.703129,,,,201.18051439989358,202.71747360005975,None,None,35.1,2.9,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
100,0,100,0,2024-11-18_17:39:13.707341,,,,203.18176120053977,204.71476700063795,None,None,35.2,2.3,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
101,0,101,0,2024-11-18_17:39:15.703701,,,,205.17969320062548,206.71560220047832,None,None,35.300000000000004,2.8,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
102,0,102,0,2024-11-18_17:39:17.703710,,,,207.1809966005385,208.71523830015212,None,None,35.4,2.2,0,,,,97,2,2024-11-18_17h35.36.423,Heat_Plate_v80,2024.1.5,60,2024-11-18 17h35.50.506686 +0100
